Net/Xnet Name,DC Open,Return Path Quality Factor,Start Signal Pin,Start Return Pin,End Signal Pin,End Return Pin,Ideal Loop Inductance,Real Loop Inductance
MIPI_DSI1_DATA3_P,0,0.981,U8.A5,U8.D5,CH1.19,CH1.21,1.577e-08,1.547e-08
MIPI_DSI1_DATA3_N,0,0.993,U8.B5,U8.D5,CH1.20,CH1.21,1.469e-08,1.459e-08
MIPI_DSI1_DATA2_P,0,0.768,U8.A6,U8.D6,CH1.11,CH1.28,2.408e-08,1.850e-08
MIPI_DSI1_DATA2_N,0,0.820,U8.B6,U8.D6,CH1.12,CH1.28,2.340e-08,1.920e-08
MIPI_DSI1_CLK_P,0,1.169,U8.A7,U8.C9,CH1.15,CH1.26,1.446e-08,1.690e-08
MIPI_DSI1_CLK_N,0,1.266,U8.B7,U8.D7,CH1.16,CH1.25,1.353e-08,1.713e-08
MIPI_DSI1_DATA1_P,0,1.057,U8.A8,U8.A10,CH1.13,CH1.28,1.499e-08,1.584e-08
MIPI_DSI1_DATA1_N,0,1.109,U8.B8,U8.C9,CH1.14,CH1.27,1.470e-08,1.629e-08
MIPI_DSI1_DATA0_P,0,0.739,U8.A9,U8.A10,CH1.17,CH1.25,2.166e-08,1.601e-08
MIPI_DSI1_DATA0_N,0,0.728,U8.B9,U8.C9,CH1.18,CH1.21,2.156e-08,1.570e-08
MIPI_DSI0_DATA3_P,0,1.294,U8.D10,U8.C9,CH1.2,CH1.38,6.981e-09,9.031e-09
MIPI_DSI0_DATA3_N,0,1.292,U8.D9,U8.C9,CH1.1,CH1.38,7.145e-09,9.235e-09
MIPI_DSI0_DATA2_P,0,1.023,U8.E10,U8.C9,CH1.10,CH1.33,1.026e-08,1.050e-08
MIPI_DSI0_DATA2_N,0,1.028,U8.E9,U8.E7,CH1.9,CH1.33,1.046e-08,1.075e-08
MIPI_DSI0_CLK_P,0,1.140,U8.F10,U8.F7,CH1.6,CH1.35,9.163e-09,1.045e-08
MIPI_DSI0_CLK_N,0,1.198,U8.F9,U8.F7,CH1.5,CH1.35,9.337e-09,1.119e-08
MIPI_DSI0_DATA1_P,0,1.025,U8.G10,U8.G7,CH1.8,CH1.33,1.103e-08,1.130e-08
MIPI_DSI0_DATA1_N,0,1.073,U8.G9,U8.G7,CH1.7,CH1.34,1.073e-08,1.151e-08
MIPI_DSI0_DATA0_P,0,1.014,U8.H10,U8.K10,CH1.4,CH1.37,1.156e-08,1.171e-08
MIPI_DSI0_DATA0_N,0,0.940,U8.H9,U8.G7,CH1.3,CH1.38,1.144e-08,1.075e-08
